"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20"
"OTU_97.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10005",4,0,0,0,1,0,0,0,0,3,0,0,0,1,0,8,0,2,0,0
"OTU_97.10008",1,1,0,1,0,0,0,0,0,0,0,1,22,0,0,1,0,1,1,0
"OTU_97.10010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10029",5,2,0,0,0,0,0,3,6,5,4,0,21,0,9,0,0,0,0,0
"OTU_97.10034",0,2,0,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"OTU_97.10035",0,0,0,0,0,1,0,0,0,3,0,0,8,0,0,0,1,0,0,0
"OTU_97.10037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.10039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10048",0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
"OTU_97.10057",0,2,0,0,2,0,0,0,4,0,0,0,2,0,0,0,3,0,0,0
"OTU_97.10058",0,0,0,0,0,2,3,0,6,0,0,1,0,0,0,0,0,0,3,1
"OTU_97.10059",3,2,0,0,0,2,4,1,0,2,10,0,0,0,0,0,0,10,0,0
"OTU_97.10060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10083",1,0,0,8,6,0,3,0,0,0,1,0,1,0,0,0,0,1,2,10
"OTU_97.10084",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10089",0,4,0,0,0,0,11,0,6,0,0,3,0,1,0,0,9,0,0,0
"OTU_97.10090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10091",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU_97.10093",0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_97.10097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1010",0,0,2,0,0,1,0,0,0,0,0,0,4,6,1,2,0,0,0,0
"OTU_97.10101",50,14,33,0,0,16,11,12,100,1,5,0,21,149,1,1,0,0,13,0
"OTU_97.10104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1011",0,0,0,12,0,0,0,5,1,0,4,0,4,3,0,1,0,10,0,0
"OTU_97.1012",4,4,0,0,84,4,0,15,3,10,7,1,0,8,2,34,12,4,6,0
"OTU_97.10120",0,0,0,0,1,1,2,1,0,0,1,0,1,0,0,1,9,0,0,3
"OTU_97.10121",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
"OTU_97.10123",0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,2,2,0,0
"OTU_97.10128",0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,3
"OTU_97.10136",0,1,0,11,5,0,1,0,0,0,4,3,0,29,0,1,0,1,1,0
"OTU_97.10137",0,0,3,0,0,0,8,5,0,2,0,0,1,1,0,1,0,12,3,3
"OTU_97.10138",0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.10146",0,0,1,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0
"OTU_97.1016",0,0,0,0,0,1,0,0,0,0,2,1,26,3,1,9,0,0,2,1
"OTU_97.10162",6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0
"OTU_97.10177",0,0,0,0,0,0,1,0,5,0,8,0,4,1,0,0,1,0,1,1
"OTU_97.10178",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"OTU_97.1018",0,18,0,8,8,0,0,4,2,0,1,2,35,2,0,1,1,40,0,2
"OTU_97.10192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10199",1,8,2,1,0,14,4,3,6,0,12,0,14,3,0,0,7,0,1,4
"OTU_97.1020",0,1,3,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,0,0
"OTU_97.10203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_97.1021",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_97.10213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.10222",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_97.10226",5,0,0,0,1,0,0,4,0,0,1,4,0,0,0,0,0,1,0,9
"OTU_97.10236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1024",0,0,5,0,0,1,1,59,1,6,38,16,5,7,14,0,0,0,6,0
"OTU_97.10245",7,2,0,0,0,0,0,0,0,0,0,0,15,1,0,0,2,0,0,1
"OTU_97.10263",14,0,1,4,0,1,7,3,5,1,1,2,2,0,2,0,0,0,0,2
"OTU_97.10278",2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"OTU_97.10279",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10285",0,2,0,0,6,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"OTU_97.10288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10289",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1
"OTU_97.1029",0,1,0,1,0,0,0,0,0,1,0,0,3,0,0,4,0,0,1,8
"OTU_97.10294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10299",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10311",4,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0
"OTU_97.10312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10313",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"OTU_97.1032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_97.10322",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10348",0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"OTU_97.10349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1035",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.10351",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_97.10355",4,0,0,0,0,0,0,8,0,0,1,0,14,0,0,0,0,0,0,0
"OTU_97.10358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10365",0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,5
"OTU_97.10368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1037",0,4,1,3,0,0,0,0,16,0,0,0,0,0,0,8,6,0,0,1
"OTU_97.10385",27,0,5,0,7,109,19,26,40,90,3,5,0,5,5,79,48,41,0,7
"OTU_97.10394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10396",0,0,0,0,0,0,1,4,0,0,11,1,0,0,1,0,4,1,1,0
"OTU_97.10409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1041",0,6,0,0,6,0,0,4,0,0,4,3,0,0,1,3,0,3,1,4
"OTU_97.10416",0,0,0,3,6,0,0,6,0,0,1,0,1,1,0,0,1,0,0,0
"OTU_97.10417",0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0
"OTU_97.10420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10428",11,6,6,1,10,1,0,28,0,0,0,0,0,0,2,0,3,10,0,0
"OTU_97.10430",0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,2
"OTU_97.10432",7,0,0,1,0,0,1,0,2,0,2,1,0,0,0,10,0,0,1,0
"OTU_97.10436",1,19,4,14,2,43,0,16,38,0,1,7,91,5,3,1,0,2,2,0
"OTU_97.10438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10439",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_97.10449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.10467",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
"OTU_97.10468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1047",4,2,1,0,0,1,12,2,7,1,4,10,0,0,0,4,20,1,1,0
"OTU_97.10480",0,0,1,0,0,0,0,0,2,3,1,2,1,0,0,0,0,0,0,2
"OTU_97.10481",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.10482",1,0,0,0,1,0,4,2,0,0,0,0,1,0,1,0,0,0,0,0
"OTU_97.10485",0,0,0,0,3,28,28,1,0,1,6,2,56,1,8,4,2,3,48,3
"OTU_97.10487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1049",0,21,3,2,0,0,6,14,0,0,0,1,3,0,0,0,0,0,14,0
"OTU_97.10492",0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0
"OTU_97.10494",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0
"OTU_97.10496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10498",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.10499",0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0
"OTU_97.10506",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"OTU_97.1051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10510",0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"OTU_97.10512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10513",0,0,0,2,11,0,8,12,4,0,8,2,18,0,0,0,6,0,1,0
"OTU_97.10517",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_97.10521",0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,2,0
"OTU_97.10524",13,2,0,0,0,12,2,1,15,51,4,8,86,2,0,0,8,1,0,1
"OTU_97.1053",2,0,0,1,0,0,0,0,0,4,1,0,1,21,0,1,3,62,3,0
"OTU_97.10543",0,4,2,0,0,0,3,23,0,0,0,2,6,2,0,1,0,2,0,1
"OTU_97.10544",2,2,0,0,0,2,0,23,1,7,2,0,0,0,1,0,0,1,5,15
"OTU_97.10555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10566",50,1,97,1,0,1,0,129,0,0,21,1,1,7,1,0,0,68,38,0
"OTU_97.10574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1058",7,0,2,0,19,3,2,11,4,5,0,7,0,0,0,7,0,0,6,0
"OTU_97.10581",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"OTU_97.1059",7,0,2,0,0,9,0,1,0,0,9,0,0,0,0,1,1,0,0,0
"OTU_97.10591",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10606",0,0,0,0,12,1,0,3,0,2,1,3,0,0,0,6,0,13,0,0
"OTU_97.10616",12,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,1,0,0
"OTU_97.10617",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"OTU_97.10619",14,0,1,0,37,34,4,36,16,10,28,1,0,0,35,0,9,2,14,11
"OTU_97.10630",2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_97.1065",0,0,0,0,0,0,1,0,6,2,0,0,4,0,0,0,0,0,0,1
"OTU_97.1066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_97.10664",0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"OTU_97.10665",11,0,5,10,2,4,4,0,2,33,1,1,5,0,15,8,2,3,2,0
"OTU_97.10667",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10668",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
"OTU_97.1067",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.10673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10684",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.10687",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_97.10692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.10696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10700",0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
"OTU_97.10713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10714",1,3,0,0,2,0,0,0,0,0,4,0,3,1,0,0,0,0,4,2
"OTU_97.10717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1072",1,2,0,0,1,0,2,0,0,0,1,0,1,0,0,1,2,0,0,3
"OTU_97.10721",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_97.10726",0,8,1,0,4,1,0,0,0,1,0,3,2,0,0,0,0,1,0,3
"OTU_97.1073",0,0,0,0,0,1,0,1,0,0,4,1,4,1,7,0,0,0,0,0
"OTU_97.10731",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_97.10733",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"OTU_97.10745",2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,3,0,0
"OTU_97.10746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
